filename,word_combination,occurrences_dir1,occurrences_dir2,hallucination_ratio
2024-10-20 15.15 A10-representations.aird.xes,ADD,24,89,3.7083333333333335
2024-10-20 15.15 A10-representations.aird.xes,SET,13,80,6.153846153846154
2024-10-20 15.57 A20-representations.aird.xes,ADD,45,45,1.0
2024-10-20 15.57 A20-representations.aird.xes,SET,26,29,1.1153846153846154
2024-10-20 17.09 A30-representations.aird.xes,ADD,53,55,1.0377358490566038
2024-10-20 17.09 A30-representations.aird.xes,SET,30,37,1.2333333333333334
2024-10-20 17.42 A40-representations.aird.xes,ADD,75,63,0.84
2024-10-20 17.42 A40-representations.aird.xes,SET,49,38,0.7755102040816326
2024-10-20 17.42 A40-representations.aird.xes,MOVE,1,0,0.0
2024-10-20 17.52 A41-representations.aird.xes,ADD,79,78,0.9873417721518988
2024-10-20 17.52 A41-representations.aird.xes,SET,52,55,1.0576923076923077
2024-10-20 17.52 A41-representations.aird.xes,MOVE,1,2,2.0
2024-10-20 18.10 B10-representations.aird.xes,ADD,131,109,0.8320610687022901
2024-10-20 18.10 B10-representations.aird.xes,SET,90,89,0.9888888888888889
2024-10-20 18.42 C10-representations.aird.xes,ADD,145,97,0.6689655172413793
2024-10-20 18.42 C10-representations.aird.xes,SET,79,67,0.8481012658227848
2024-10-20 18.42 C10-representations.aird.xes,MOVE,2,7,3.5
2024-10-20 18.56 C11-representations.aird.xes,ADD,64,120,1.875
2024-10-20 18.56 C11-representations.aird.xes,SET,49,102,2.0816326530612246
2024-10-20 19.10 C20-representations.aird.xes,ADD,158,157,0.9936708860759493
2024-10-20 19.10 C20-representations.aird.xes,SET,94,129,1.372340425531915
2024-10-20 19.10 C20-representations.aird.xes,MOVE,1,2,2.0
2024-10-20 19.17 C30-representations.aird.xes,ADD,84,169,2.011904761904762
2024-10-20 19.17 C30-representations.aird.xes,SET,54,133,2.462962962962963
2024-10-20 19.30 C40-representations.aird.xes,ADD,143,168,1.1748251748251748
2024-10-20 19.30 C40-representations.aird.xes,SET,86,133,1.5465116279069768
2024-10-20 19.30 C40-representations.aird.xes,MOVE,1,2,2.0
2024-10-20 19.55 C50-representations.aird.xes,ADD,206,179,0.8689320388349514
2024-10-20 19.55 C50-representations.aird.xes,SET,177,153,0.864406779661017
2024-10-20 19.55 C50-representations.aird.xes,MOVE,2,2,1.0
2024-10-20 21.03 C60-representations.aird.xes,ADD,194,183,0.9432989690721649
2024-10-20 21.03 C60-representations.aird.xes,SET,114,120,1.0526315789473684
2024-10-20 21.10 C70-representations.aird.xes,ADD,71,215,3.028169014084507
2024-10-20 21.10 C70-representations.aird.xes,SET,61,164,2.6885245901639343
2024-10-20 21.10 C70-representations.aird.xes,MOVE,1,2,2.0
2024-10-20 21.21 C80-representations.aird.xes,ADD,96,135,1.40625
2024-10-20 21.21 C80-representations.aird.xes,SET,65,112,1.7230769230769232
