Process,Mean Abs Diff (%),Std Abs Diff (%),Mean Rel Diff (%),Std Rel Diff (%)
Connecting Objects,4.067000000000002,3.4641691323862607,5.724514827390573,4.9900275626755235
Flow Objects,5.216,3.539175045119979,22.78668449625929,12.842328843765143
Swim Lanes,2.8960000000000004,1.8485261396282415,inf,
Artifacts,2.721,2.171724609101665,inf,
