Fold,Avg Precision,Avg Recall,Avg F1,Avg pr time,Avg rec time
fold_1,0.0,0.0,0.0,0.018245538075764973,1.6636001004113092
fold_2,12.5,10.416666666666666,11.25,0.025525331497192383,1.639045089483261
fold_3,0.0,0.0,0.0,0.01972203254699707,1.353266167640686
fold_4,6.25,6.25,6.25,0.015309751033782959,1.3680955171585083
fold_5,0.0,0.0,0.0,0.020241710874769423,1.5833880636427138
