File,Levenshtein-Dist,Levenshtein-Sim,LCS-Dist,LCS-Sim,Overlap,Jaro-Sim,1-cosine,2-cosine,3-cosine,4-cosine,1-jaccard,2-jaccard,3-jaccard,4-jaccard,1-sorensen_dice,2-sorensen_dice,3-sorensen_dice,4-sorensen_dice,1-qgram,2-qgram,3-qgram,4-qgram
Ex00,485,0.811723602,526,0.890233723,0.95412844,0.814351769,0.992464298,0.980482173,0.959370034,0.943393166,1,1,1,0.957746479,1,1,1,0.978417266,0.845386534,0.835820896,0.821782178,0.790243902
Ex01,2430,0.488958991,2465,0.654229205,0.989408327,0.694796275,0.985205686,0.960022648,0.916303095,0.870850034,1,0.972972973,0.947368421,0.901408451,1,0.98630137,0.972972973,0.948148148,0.45026178,0.427096774,0.395701643,0.374064838
Ex02,1502,0.542073171,1831,0.678602773,0.961898396,0.761187719,0.985279515,0.959267592,0.901711639,0.823499971,0.928571429,0.818181818,0.755555556,0.582677165,0.962962963,0.9,0.860759494,0.736318408,0.703422053,0.664804469,0.615942029,0.526586621
Ex03,8466,0.429514825,9148,0.585387962,0.973368522,0.673467408,0.946565882,0.86714361,0.772799911,0.681128896,0.586206897,0.454545455,0.382022472,0.310344828,0.739130435,0.625,0.552845528,0.473684211,0.337308982,0.263120817,0.193870753,0.154738878
Ex04,10509,0.316398881,10641,0.477588492,0.976941748,0.620176515,0.95861721,0.895290026,0.805844237,0.734749681,0.59375,0.516666667,0.473684211,0.4140625,0.745098039,0.681318681,0.642857143,0.585635359,0.253292022,0.213508443,0.170166546,0.139731828
Ex05,3979,0.277989476,3983,0.434794948,0.998956703,0.605728122,0.973390983,0.933650791,0.888231153,0.852814985,0.482758621,0.333333333,0.257425743,0.207142857,0.651162791,0.5,0.409448819,0.343195266,0.309002433,0.304981774,0.300970874,0.296969697
Ex06,1273,0.552390999,1466,0.695091514,0.981351015,0.752171172,0.994411041,0.982796281,0.949763422,0.934424894,0.962962963,0.901960784,0.853658537,0.759259259,0.981132075,0.948453608,0.921052632,0.863157895,0.678004535,0.673469388,0.66893424,0.653153153
Ex07,1480,0.613879468,1911,0.740106079,0.948908611,0.806112743,0.980236624,0.949464475,0.909598419,0.880750867,0.615384615,0.476190476,0.422535211,0.360406091,0.761904762,0.64516129,0.594059406,0.529850746,0.692307692,0.564102564,0.461333333,0.386565272
Ex08,4147,0.474930362,4367,0.632623875,0.975070453,0.682494257,0.96325399,0.908180469,0.820980051,0.787272595,0.677419355,0.542372881,0.468085106,0.376,0.807692308,0.703296703,0.637681159,0.546511628,0.390279823,0.330042313,0.26442953,0.22845953
Ex09,9311,0.317775498,9740,0.47139911,0.937522769,0.60936386,0.929392593,0.831901134,0.694938955,0.646045104,0.785714286,0.603174603,0.537037037,0.436708861,0.88,0.752475248,0.698795181,0.607929515,0.22532442,0.186737805,0.144538433,0.123960969
Ex10,10827,0.293230629,10935,0.451026658,0.979071537,0.61364573,0.967867014,0.906969568,0.801500142,0.730291135,0.821428571,0.666666667,0.578947368,0.463768116,0.901960784,0.8,0.733333333,0.633663366,0.239574816,0.211031175,0.171826625,0.146212121
A1.0,299,0.725183824,332,0.832829809,0.964627151,0.826161896,0.999237777,0.997910422,0.995165992,0.992770148,1,0.967741935,0.955555556,0.890909091,1,0.983606557,0.977272727,0.942307692,0.812154696,0.801104972,0.790055249,0.779005525
A2.0,597,0.673234811,609,0.805369128,0.923980222,0.780793773,0.995316387,0.986567363,0.9693894,0.947527315,1,0.914285714,0.867924528,0.718309859,1,0.955223881,0.929292929,0.836065574,0.740350877,0.727272727,0.708333333,0.64983165
A3.0,3969,0.344833278,4033,0.508829619,0.95331992,0.632688808,0.9797394,0.950589458,0.914627227,0.882804455,0.791666667,0.644444444,0.563380282,0.5,0.88372093,0.783783784,0.720720721,0.666666667,0.292189007,0.263456091,0.229070837,0.205058717
A4.0,1055,0.660115979,1302,0.781836461,0.954147813,0.813428924,0.987053358,0.963476665,0.920016705,0.879008968,0.904761905,0.853658537,0.791044776,0.633663366,0.95,0.921052632,0.883333333,0.775757576,0.813333333,0.743119266,0.669014085,0.581939799
A4.1,1199,0.632884262,1431,0.774822974,0.944288914,0.81501512,0.982063266,0.954482797,0.91929747,0.877854151,0.857142857,0.825,0.769230769,0.59223301,0.923076923,0.904109589,0.869565217,0.743902439,0.791150442,0.735395189,0.68,0.59429477
B1.0,2773,0.524030209,2932,0.679282433,0.953751538,0.71766954,0.987724522,0.965184415,0.918517281,0.886675231,0.857142857,0.775,0.751824818,0.645,0.923076923,0.873239437,0.858333333,0.784194529,0.544642857,0.52370452,0.501632209,0.464399575
C1.0,9474,0.376669518,9654,0.543804933,0.976554536,0.646447867,0.964438259,0.917030241,0.862443417,0.810201782,0.857142857,0.661290323,0.570093458,0.443037975,0.923076923,0.796116505,0.726190476,0.614035088,0.303250478,0.266171004,0.223140496,0.193684211
C1.1,1124,0.625582945,1368,0.754750807,0.916534935,0.811911452,0.997781834,0.993108407,0.97215531,0.954454738,0.903225806,0.868852459,0.848484848,0.726618705,0.949152542,0.929824561,0.918032787,0.841666667,0.863134658,0.838427948,0.772151899,0.696356275
C2.0,2567,0.609878419,2847,0.744181867,0.920282187,0.74468176,0.985510333,0.962224596,0.923815648,0.899321688,0.689655172,0.507692308,0.423423423,0.351851852,0.816326531,0.673469388,0.594936709,0.520547945,0.684210526,0.635348837,0.570661896,0.509466437
C3.0,1489,0.600268456,1584,0.740922473,0.936734694,0.733175207,0.993398788,0.979510757,0.947334977,0.925037223,0.88,0.754716981,0.696629213,0.616,0.936170213,0.860215054,0.821192053,0.762376238,0.660649819,0.636363636,0.598603839,0.559726962
C4.0,3487,0.433928571,3596,0.59946536,0.975757576,0.669226816,0.986694414,0.965522602,0.921003385,0.898889999,0.828571429,0.767123288,0.743801653,0.668639053,0.90625,0.868217054,0.853080569,0.80141844,0.45532831,0.437699681,0.420442571,0.397715472
C5.0,6477,0.36636666,6539,0.534358755,0.993194385,0.643830093,0.991069457,0.975584509,0.940789185,0.927133866,0.783783784,0.74025974,0.734375,0.670391061,0.878787879,0.850746269,0.846846847,0.802675585,0.369369369,0.355867347,0.342604298,0.327909887
C6.0,4348,0.506469921,4590,0.664473684,0.961545006,0.710543678,0.988393498,0.960912167,0.896600622,0.845549352,0.853658537,0.769230769,0.738562092,0.611607143,0.921052632,0.869565217,0.84962406,0.75900277,0.530546624,0.520383693,0.501976285,0.465637066
C7.0,1963,0.588124213,2253,0.729953254,0.946215624,0.762952208,0.966398061,0.913735496,0.849594716,0.794926047,0.657894737,0.556962025,0.519083969,0.477272727,0.793650794,0.715447154,0.683417085,0.646153846,0.566666667,0.476404494,0.386892178,0.327254306
C8.0,1584,0.632141198,1951,0.773007563,0.942424242,0.835157682,0.997633228,0.992522668,0.979360633,0.964453462,0.810810811,0.792207792,0.787401575,0.69273743,0.895522388,0.884057971,0.881057269,0.818481848,0.908957416,0.851640514,0.78021978,0.716180371
