filename,word_combination,occurrences_dir1,occurrences_dir2,hallucination_ratio
Ex00,event,100,74,0.74
Ex01,event,91,87,0.956043956
Ex02,event,128,65,0.5078125
Ex03,event,278,77,0.276978417
Ex04,event,193,130,0.67357513
Ex05,event,205,81,0.395121951
Ex06,event,110,65,0.590909091
Ex07,event,145,106,0.731034483
Ex08,event,156,71,0.455128205
Ex09,event,178,63,0.353932584
Ex10,event,164,90,0.548780488
A1.0,event,37,23,0.621621622
A2.0,event,71,98,1.38028169
A3.0,event,83,74,0.891566265
A4.0,event,125,94,0.752
A4.1,event,132,54,0.409090909
B1.0,event,221,84,0.380090498
C1.0,event,226,81,0.35840708
C1.1,event,113,88,0.778761062
C2.0,event,253,64,0.252964427
C3.0,event,138,76,0.550724638
C4.0,event,230,66,0.286956522
C5.0,event,385,122,0.316883117
C6.0,event,308,105,0.340909091
C7.0,event,133,303,2.278195489
C8.0,event,161,303,1.881987578
