word_combination,occurrences_dir1,occurrences_dir2,hallucination_ratio
Process,26,22,0.846153846
LaneSet,1,1,1
Lane,12,2,0.166666667
StartEvent,2,2,1
Task,18,16,0.888888889
SequenceFlow,26,26,1
ExclusiveGateway,3,3,1
EndEvent,4,5,1.25
ParallelGateway,8,8,1
Process,24,53,2.208333333
LaneSet,1,1,1
Lane,11,2,0.181818182
StartEvent,2,2,1
Task,15,50,3.333333333
SequenceFlow,24,52,2.166666667
ExclusiveGateway,6,5,0.833333333
ParallelGateway,6,20,3.333333333
EndEvent,2,1,0.5
Process,30,17,0.566666667
LaneSet,5,2,0.4
Lane,19,9,0.473684211
StartEvent,4,1,0.25
Task,18,22,1.222222222
SequenceFlow,20,17,0.85
ExtensionAttributeValue,5,6,1.2
DataObject,2,6,3
Association,20,12,0.6
ExclusiveGateway,3,2,0.666666667
EndEvent,2,2,1
Process,63,178,2.825396825
LaneSet,5,1,0.2
Lane,36,2,0.055555556
Task,38,264,6.947368421
StartEvent,3,0,0
SequenceFlow,42,174,4.142857143
ExtensionAttributeValue,15,0,0
DataObject,11,0,0
Association,46,0,0
ExclusiveGateway,11,0,0
DataStore,4,0,0
EndEvent,4,0,0
Process,43,123,2.860465116
LaneSet,5,3,0.6
Lane,29,6,0.206896552
StartEvent,12,1,0.083333333
Task,28,240,8.571428571
SequenceFlow,47,240,5.106382979
ExclusiveGateway,15,1,0.066666667
ExtensionAttributeValue,3,0,0
DataObject,2,0,0
Association,8,0,0
DataStore,1,0,0
Process,49,16,0.326530612
LaneSet,5,0,0
Lane,24,8,0.333333333
Task,22,24,1.090909091
StartEvent,5,0,0
SequenceFlow,49,16,0.326530612
EndEvent,6,0,0
ExclusiveGateway,11,0,0
ExtensionAttributeValue,2,0,0
Association,20,0,0
IntermediateCatchEvent,7,0,0
IntermediateThrowEvent,4,0,0
DataObject,1,0,0
Process,27,19,0.703703704
LaneSet,2,1,0.5
Lane,14,4,0.285714286
StartEvent,4,2,0.5
Task,16,11,0.6875
SequenceFlow,23,17,0.739130435
ExtensionAttributeValue,2,2,1
DataObject,2,2,1
Association,12,10,0.833333333
ExclusiveGateway,7,5,0.714285714
EndEvent,1,2,2
Process,36,29,0.805555556
LaneSet,4,2,0.5
Lane,21,17,0.80952381
Task,16,0,0
UserTask,3,10,3.333333333
MultiInstanceLoopCharacteristics,1,1,1
StartEvent,4,2,0.5
SequenceFlow,36,26,0.722222222
ParallelGateway,12,6,0.5
SubProcess,4,0,0
EndEvent,1,2,2
ExclusiveGateway,7,3,0.428571429
Process,37,65,1.756756757
LaneSet,3,1,0.333333333
Lane,23,2,0.086956522
Task,33,124,3.757575758
StartEvent,5,1,0.2
SequenceFlow,36,122,3.388888889
BoundaryEvent,8,1,0.125
ExclusiveGateway,6,0,0
EndEvent,1,0,0
ExtensionAttributeValue,1,0,0
TextAnnotation,1,0,0
Association,2,0,0
Process,40,194,4.85
LaneSet,5,3,0.6
Lane,22,196,8.909090909
Task,21,181,8.619047619
StartEvent,7,2,0.285714286
SequenceFlow,48,12,0.25
EndEvent,7,5,0.714285714
IntermediateThrowEvent,11,2,0.181818182
ExclusiveGateway,6,2,0.333333333
IntermediateCatchEvent,7,2,0.285714286
SubProcess,4,0,0
Process,39,119,3.051282051
LaneSet,3,3,1
Lane,21,7,0.333333333
Task,19,117,6.157894737
StartEvent,3,2,0.666666667
SequenceFlow,44,230,5.227272727
ExclusiveGateway,4,1,0.25
IntermediateThrowEvent,4,1,0.25
EventBasedGateway,7,2,0.285714286
IntermediateCatchEvent,18,1,0.055555556
EndEvent,2,109,54.5
Process,10,12,1.2
LaneSet,1,1,1
Lane,5,6,1.2
StartEvent,2,1,0.5
Task,9,12,1.333333333
EndEvent,2,3,1.5
SequenceFlow,8,10,1.25
Process,18,14,0.777777778
LaneSet,1,1,1
Lane,8,7,0.875
StartEvent,2,1,0.5
Task,12,13,1.083333333
SequenceFlow,18,12,0.666666667
ParallelGateway,9,2,0.222222222
EndEvent,3,3,1
Process,20,64,3.2
LaneSet,1,1,1
SubProcess,7,1,0.142857143
Lane,11,32,2.909090909
BoundaryEvent,9,0,0
StartEvent,2,1,0.5
Task,12,91,7.583333333
SequenceFlow,16,62,3.875
EndEvent,5,0,0
Process,21,21,1
Lane,17,6,0.352941176
StartEvent,8,4,0.5
Task,23,16,0.695652174
LaneSet,2,4,2
SequenceFlow,29,32,1.103448276
SubProcess,16,24,1.5
EndEvent,9,6,0.666666667
Process,23,23,1
LaneSet,5,2,0.4
Lane,17,3,0.176470588
Task,23,19,0.826086957
StartEvent,8,4,0.5
SequenceFlow,30,38,1.266666667
SubProcess,16,24,1.5
EndEvent,10,8,0.8
Process,47,37,0.787234043
LaneSet,4,2,0.5
Lane,33,6,0.181818182
StartEvent,6,5,0.833333333
Task,8,3,0.375
SequenceFlow,44,26,0.590909091
UserTask,5,5,1
EndEvent,13,8,0.615384615
ServiceTask,4,6,1.5
ParallelGateway,4,2,0.5
ExclusiveGateway,15,8,0.533333333
SubProcess,25,2,0.08
ExtensionAttributeValue,5,1,0.2
DataObject,1,0,0
Association,6,8,1.333333333
DataStore,1,0,0
Process,51,180,3.529411765
LaneSet,7,1,0.142857143
Lane,33,3,0.090909091
StartEvent,7,1,0.142857143
Task,29,249,8.586206897
IntermediateCatchEvent,14,5,0.357142857
SequenceFlow,56,175,3.125
InclusiveGateway,3,1,0.333333333
EndEvent,10,6,0.6
UserTask,8,2,0.25
ExclusiveGateway,8,1,0.125
Process,26,25,0.961538462
LaneSet,1,1,1
Lane,15,9,0.6
StartEvent,2,1,0.5
UserTask,8,8,1
ExtensionAttributeValue,3,1,0.333333333
DataObject,3,1,0.333333333
Association,6,6,1
SequenceFlow,25,25,1
ExclusiveGateway,9,9,1
Task,6,5,0.833333333
EndEvent,6,5,0.833333333
EdgeStyleDescription,1,0,0
ServiceTask,2,2,1
Process,45,49,1.088888889
LaneSet,8,1,0.125
Lane,30,22,0.733333333
StartEvent,14,2,0.142857143
Task,39,62,1.58974359
EndEvent,11,1,0.090909091
SequenceFlow,65,44,0.676923077
ExclusiveGateway,12,0,0
SubProcess,23,0,0
