word_combination,occurrences_dir1,occurrences_dir2,hallucination_ratio
Process,26,12,0.461538462
LaneSet,1,2,2
Lane,12,4,0.333333333
StartEvent,2,2,1
Task,18,10,0.555555556
SequenceFlow,26,23,0.884615385
ExclusiveGateway,3,5,1.666666667
EndEvent,4,3,0.75
ParallelGateway,8,9,1.125
Process,24,23,0.958333333
LaneSet,1,1,1
Lane,11,11,1
StartEvent,2,2,1
Task,15,14,0.933333333
SequenceFlow,24,20,0.833333333
ExclusiveGateway,6,5,0.833333333
ParallelGateway,6,6,1
EndEvent,2,4,2
Process,30,22,0.733333333
LaneSet,5,2,0.4
Lane,19,11,0.578947368
StartEvent,4,2,0.5
Task,18,15,0.833333333
SequenceFlow,20,15,0.75
ExtensionAttributeValue,5,3,0.6
DataObject,2,3,1.5
Association,20,0,0
ExclusiveGateway,3,3,1
EndEvent,2,1,0.5
Process,63,24,0.380952381
LaneSet,5,1,0.2
Lane,36,0,0
Task,38,20,0.526315789
StartEvent,3,3,1
SequenceFlow,42,31,0.738095238
ExtensionAttributeValue,15,0,0
DataObject,11,0,0
Association,46,0,0
ExclusiveGateway,11,9,0.818181818
DataStore,4,0,0
EndEvent,4,3,0.75
Process,43,17,0.395348837
LaneSet,5,0,0
Lane,29,1,0.034482759
StartEvent,12,4,0.333333333
Task,28,15,0.535714286
SequenceFlow,47,26,0.553191489
ExclusiveGateway,15,13,0.866666667
ExtensionAttributeValue,3,0,0
DataObject,2,0,0
Association,8,0,0
DataStore,1,0,0
Process,49,27,0.551020408
LaneSet,5,0,0
Lane,24,0,0
Task,22,18,0.818181818
StartEvent,5,3,0.6
SequenceFlow,49,34,0.693877551
EndEvent,6,3,0.5
ExclusiveGateway,11,8,0.727272727
ExtensionAttributeValue,2,0,0
Association,20,0,0
IntermediateCatchEvent,7,0,0
IntermediateThrowEvent,4,0,0
DataObject,1,0,0
Process,27,18,0.666666667
LaneSet,2,3,1.5
Lane,14,6,0.428571429
StartEvent,4,2,0.5
Task,16,12,0.75
SequenceFlow,23,18,0.782608696
ExtensionAttributeValue,2,1,0.5
DataObject,2,1,0.5
Association,12,2,0.166666667
ExclusiveGateway,7,8,1.142857143
EndEvent,1,2,2
Process,36,21,0.583333333
LaneSet,4,0,0
Lane,21,0,0
Task,16,13,0.8125
UserTask,3,0,0
MultiInstanceLoopCharacteristics,1,0,0
