category,dataset,context,cutoff,Fold,Avg Precision,Avg Recall,Avg F1,Avg pr time,Avg rec time,dataset,context,cutoff,Fold,Avg Precision,Avg Recall,Avg F1,Avg pr time,Avg rec time,dataset,context,cutoff,Fold,Avg Precision,Avg Recall,Avg F1,Avg pr time,Avg rec time
Flow_Objects,D1,0.2,10,fold_1,16.58730159,24.81481481,19.2022792,0.019999319,1.699310753,D2.R,0.2,10,fold_1,26,40.11832612,30.72998106,0.084048252,23.89737117,D2.S,0.2,10,fold_1,29.9691358,49.1005291,34.14256796,0.018399662,1.796461635
Flow_Objects,D1,0.2,10,fold_2,15.73412698,19.0922619,16.9047619,0.024664909,1.763336301,D2.R,0.2,10,fold_2,29.47368421,46.01807549,35.01460844,0.082142378,23.82539676,D2.S,0.2,10,fold_2,42.22222222,59.6577381,48.18134072,0.022516638,1.715662807
Flow_Objects,D1,0.2,10,fold_3,9.301587302,19.52380952,12.12454212,0.021205568,1.470140958,D2.R,0.2,10,fold_3,24.7826087,38.2773386,28.81453786,0.076164743,20.36645176,D2.S,0.2,10,fold_3,24.11111111,39.6984127,29.32203907,0.018957376,1.436135435
Flow_Objects,D1,0.2,10,fold_4,15.79365079,30.6547619,20.27472527,0.017265379,1.633263677,D2.R,0.2,10,fold_4,28.69565217,47.25406236,33.6017504,0.074343225,19.36806644,D2.S,0.2,10,fold_4,44.30555556,65.71428571,51.45337183,0.020178705,1.636962801
Flow_Objects,D1,0.2,10,fold_5,21.4638448,42.34006734,26.32108632,0.016677909,1.724225309,D2.R,0.2,10,fold_5,21.9047619,35.94482237,26.080024,0.07546971,16.66797728,D2.S,0.2,10,fold_5,35.30864198,49.94708995,39.24279968,0.017225266,1.878674004
Flow_Objects,D1,0.5,10,fold_1,22.46376812,29.41808192,23.61988018,0.091920531,57.03495542,D2.R,0.5,10,fold_1,20.4,39.11746032,26.04155525,0.086144075,23.34889826,D2.S,0.5,10,fold_1,15.52028219,21.11111111,17.40740741,0.016855107,1.460944255
Flow_Objects,D1,0.5,10,fold_2,26.73611111,37.64054233,29.33508689,0.092074047,48.89683247,D2.R,0.5,10,fold_2,25.26315789,46.47869674,31.92269791,0.086689322,23.28294154,D2.S,0.5,10,fold_2,18.75,30.14880952,22.10636586,0.02138713,1.469447166
Flow_Objects,D1,0.5,10,fold_3,19.56521739,25.6301428,20.97087209,0.089917328,46.41348964,D2.R,0.5,10,fold_3,23.91304348,43.06869459,29.1131775,0.087855888,21.95454014,D2.S,0.5,10,fold_3,12.99603175,28.92857143,17.47752248,0.019422889,1.218399954
Flow_Objects,D1,0.5,10,fold_4,26.38888889,36.23484848,29.28280539,0.087494409,51.88274382,D2.R,0.5,10,fold_4,24.7826087,50.15355418,31.27663676,0.091483966,21.97229004,D2.S,0.5,10,fold_4,18.72519841,33.98809524,23.13519814,0.015666038,1.363768429
Flow_Objects,D1,0.5,10,fold_5,23.61111111,34.77585906,26.16641835,0.086226804,47.09569174,D2.R,0.5,10,fold_5,20.47619048,36.09221466,25.23497703,0.085486764,18.16710303,D2.S,0.5,10,fold_5,19.48853616,37.03703704,24.11709149,0.015379535,1.552906487
Flow_Objects,D1,0.8,10,fold_1,24.44444444,28.38587741,25.50977367,0.093028701,56.80772715,D2.R,0.8,10,fold_1,27.73333333,38.15238095,31.06692448,0.081495409,21.83107061,D2.S,0.8,10,fold_1,26.2345679,47.40740741,31.35395469,0.014830457,1.405375216
Flow_Objects,D1,0.8,10,fold_2,22.22222222,38.40112434,25.67871864,0.093410144,48.46016446,D2.R,0.8,10,fold_2,29.94152047,41.90909967,33.49105098,0.140499353,93.75840004,D2.S,0.8,10,fold_2,35.91269841,53.58630952,41.80059524,0.019757181,1.427622765
Flow_Objects,D1,0.8,10,fold_3,24.83091787,33.72830068,26.42797504,0.08974322,45.86922471,D2.R,0.8,10,fold_3,25.16908213,32.6569807,26.8844714,0.189740523,49.93825638,D2.S,0.8,10,fold_3,21.25,39.58333333,26.4514652,0.019229484,1.221321821
Flow_Objects,D1,0.8,10,fold_4,25,32.90064103,26.82592734,0.087542522,51.01426055,D2.R,0.8,10,fold_4,35.07246377,47.34519104,37.03175756,0.250727996,82.63419335,D2.S,0.8,10,fold_4,35.06944444,59.66269841,42.67431098,0.016700327,1.392601937
Flow_Objects,D1,0.8,10,fold_5,20.79365079,31.73280423,23.23066654,0.085608357,46.07895741,D2.R,0.8,10,fold_5,21.21693122,30.65192744,23.38495767,0.159757557,34.77081562,D2.S,0.8,10,fold_5,31.48148148,51.16402116,37.47081379,0.015940004,1.772793929
