category,dataset,context,cutoff,Fold,Avg Precision,Avg Recall,Avg F1,Avg pr time,Avg rec time,dataset,context,cutoff,Fold,Avg Precision,Avg Recall,Avg F1,Avg pr time,Avg rec time,dataset,context,cutoff,Fold,Avg Precision,Avg Recall,Avg F1,Avg pr time,Avg rec time
Connecting_Objects,D1,0.2,10,fold_1,0,0,0,0.018070936,1.680484215,D2.R,0.2,10,fold_1,39,34.46666667,36.27936508,0.084697933,23.7441009,D2.S,0.2,10,fold_1,16.66666667,22.22222222,19.04761905,0.018843651,1.834120883
Connecting_Objects,D1,0.2,10,fold_2,15.625,17.70833333,16.51785714,0.023945808,1.765819073,D2.R,0.2,10,fold_2,35.52631579,31.05263158,32.58145363,0.078160499,23.77015804,D2.S,0.2,10,fold_2,53.125,60,55.75396825,0.026530266,2.008336693
Connecting_Objects,D1,0.2,10,fold_3,0,0,0,0.020594358,1.469589233,D2.R,0.2,10,fold_3,26.08695652,24.7826087,25.06901311,0.084021123,22.44562623,D2.S,0.2,10,fold_3,15,20,17.14285714,0.022795534,1.697916269
Connecting_Objects,D1,0.2,10,fold_4,0,0,0,0.017103761,1.65571484,D2.R,0.2,10,fold_4,42.39130435,35.89026915,38.12064747,0.081434499,22.48681163,D2.S,0.2,10,fold_4,31.25,37.5,33.92857143,0.019035012,1.865251631
Connecting_Objects,D1,0.2,10,fold_5,0,0,0,0.024066395,1.906485372,D2.R,0.2,10,fold_5,20.23809524,17.14285714,18.25396825,0.081936916,19.24468491,D2.S,0.2,10,fold_5,8.333333333,11.11111111,9.523809524,0.022861984,1.936352756
Connecting_Objects,D1,0.5,10,fold_1,18.84057971,28.98550725,21.9047619,0.091468852,56.74114855,D2.R,0.5,10,fold_1,26.4,44.66666667,31.0952381,0.093205309,23.94599077,D2.S,0.5,10,fold_1,0,0,0,0.018245538,1.6636001
Connecting_Objects,D1,0.5,10,fold_2,27.77777778,31.59722222,27.08333333,0.091804673,49.19691116,D2.R,0.5,10,fold_2,31.57894737,46.05263158,33.87635756,0.089216082,24.12007314,D2.S,0.5,10,fold_2,12.5,10.41666667,11.25,0.025525331,1.639045089
Connecting_Objects,D1,0.5,10,fold_3,23.76811594,26.52173913,23.7094548,0.088953879,46.20227374,D2.R,0.5,10,fold_3,13.91304348,29.34782609,17.89164941,0.089627712,22.39227263,D2.S,0.5,10,fold_3,0,0,0,0.019722033,1.353266168
Connecting_Objects,D1,0.5,10,fold_4,30,43.33333333,33.66666667,0.087014842,51.9393724,D2.R,0.5,10,fold_4,28.69565217,49.71014493,34.13200326,0.080380295,19.80685398,D2.S,0.5,10,fold_4,6.25,6.25,6.25,0.015309751,1.368095517
Connecting_Objects,D1,0.5,10,fold_5,20.63492063,23.80952381,20.65759637,0.085162606,47.0061766,D2.R,0.5,10,fold_5,30.47619048,30.15873016,26.07709751,0.086314678,18.69075868,D2.S,0.5,10,fold_5,0,0,0,0.020241711,1.583388064
Connecting_Objects,D1,0.8,10,fold_1,14.7826087,23.1884058,17.08545078,0.108750748,72.24218399,D2.R,0.8,10,fold_1,28.33333333,34.13333333,30.12756133,0.084622602,21.6631618,D2.S,0.8,10,fold_1,22.22222222,22.22222222,22.22222222,0.014719433,1.42111259
Connecting_Objects,D1,0.8,10,fold_2,11.66666667,21.52777778,14.53373016,0.105244497,61.35056067,D2.R,0.8,10,fold_2,28.77192982,33.68421053,29.63773069,0.078381526,21.07691352,D2.S,0.8,10,fold_2,62.5,52.08333333,55.83333333,0.020627588,1.43930164
Connecting_Objects,D1,0.8,10,fold_3,24.05797101,27.59834369,22.73762469,0.108869822,57.76206973,D2.R,0.8,10,fold_3,21.30434783,26.36645963,22.7817593,0.079930616,20.03931712,D2.S,0.8,10,fold_3,20,20,20,0.018111444,1.203876829
Connecting_Objects,D1,0.8,10,fold_4,12.75,28.75,16.78571429,0.088283372,51.24599323,D2.R,0.8,10,fold_4,36.52173913,38.55072464,36.02829538,0.080890852,20.70480019,D2.S,0.8,10,fold_4,37.5,33.33333333,35,0.015186548,1.344662488
Connecting_Objects,D1,0.8,10,fold_5,12.61904762,19.04761905,14.26819213,0.085424548,46.36204262,D2.R,0.8,10,fold_5,17.14285714,18.33333333,17.67195767,0.081594195,17.76470518,D2.S,0.8,10,fold_5,11.11111111,11.11111111,11.11111111,0.019119077,1.536216312
