feature,dataset,Configuration,context,cutoff,Fold,Avg Precision,Avg Recall,Avg F1,Avg pr time,Avg rec time
classes,D2.S,C2.3,0.5,10,fold_3,16,21.91758242,16.8156132,0.019040298,0.731633759
classes,D2.S,C2.3,0.5,10,fold_4,11.66666667,25.12820513,12.16073781,0.018232425,1.040708303
classes,D2.S,C2.3,0.5,10,fold_5,22.5,29.64015152,24.31873682,0.018310905,0.707052648
classes,D2.S,C3.1,0.8,3,fold_1,9.523809524,4.421768707,6.031746032,0.019737584,2.192667723
classes,D2.S,C3.1,0.8,3,fold_2,16.66666667,9.172077922,11.42857143,0.02985397,1.509020627
classes,D2.S,C3.1,0.8,3,fold_3,13.33333333,7.333333333,9.444444444,0.025046563,1.119726133
classes,D2.S,C3.1,0.8,3,fold_4,19.04761905,9.126984127,12.01814059,0.025755099,1.759669781
classes,D2.S,C3.1,0.8,3,fold_5,8.333333333,7.8125,7.272727273,0.028500468,0.968941301
classes,D2.S,C3.2,0.8,5,fold_1,28.57142857,22.55799756,22.42836529,0.021924359,2.089954206
classes,D2.S,C3.2,0.8,5,fold_2,22.5,19.7172619,20.54195804,0.027433574,1.897375345
classes,D2.S,C3.2,0.8,5,fold_3,12,11.16666667,11.33954934,0.020877767,1.398991871
classes,D2.S,C3.2,0.8,5,fold_4,25.71428571,19.26406926,21.53124653,0.028614453,2.094958033
classes,D2.S,C3.2,0.8,5,fold_5,15.55555556,12.93650794,13.95061728,0.021377669,1.249811835
classes,D2.S,C3.3,0.8,10,fold_1,18.88888889,24.42680776,20.95143906,0.028180679,2.012869199
classes,D2.S,C3.3,0.8,10,fold_2,16.25,25.74404762,19.59056058,0.026747525,2.058421582
classes,D2.S,C3.3,0.8,10,fold_3,17,38.30555556,21.87857318,0.016518736,1.404887104
classes,D2.S,C3.3,0.8,10,fold_4,18.75,31.42361111,22.42716165,0.0189448,1.818291187
classes,D2.S,C3.3,0.8,10,fold_5,28.88888889,45.03052503,33.35655196,0.025983678,2.002014796
