feature,dataset,Configuration,context,cutoff,Fold,Avg Precision,Avg Recall,Avg F1,Avg pr time,Avg rec time
attrs,D1,C3.2,0.8,5,fold_1,50,18.05939964,23.73037387,0.11039115,64.83468793
attrs,D1,C3.2,0.8,5,fold_2,55.23809524,30.05780562,31.73451502,0.100364696,55.92280675
attrs,D1,C3.2,0.8,5,fold_3,47.82608696,23.08841027,27.26118951,0.112090038,52.46845466
attrs,D1,C3.2,0.8,5,fold_4,58.18181818,22.61586774,30.02418244,0.109306953,62.35293231
attrs,D1,C3.2,0.8,5,fold_5,47.5,18.62000692,24.26595701,0.151032388,73.07971574
attrs,D1,C3.3,0.8,10,fold_1,63.6,39.0632903,44.14114397,0.253185368,185.4058272
attrs,D1,C3.3,0.8,10,fold_2,59.54545455,36.13063101,41.56846165,0.19422025,125.1244766
attrs,D1,C3.3,0.8,10,fold_3,48.69565217,33.82617682,35.51751092,0.305703132,246.7629951
attrs,D1,C3.3,0.8,10,fold_4,50.90909091,31.37663321,34.87418201,0.203772686,357.4093844
attrs,D1,C3.3,0.8,10,fold_5,48,28.62887388,34.41086871,0.114028454,51.96215436
attrs,D2.R,C1.1,0.2,3,fold_1,100,3.772128436,7.240123715,0.087315361,9.192715287
attrs,D2.R,C1.1,0.2,3,fold_2,100,4.942668779,9.139403855,0.080330849,10.11695104
attrs,D2.R,C1.1,0.2,3,fold_3,100,5.507567206,10.36859922,0.085410643,7.630131531
attrs,D2.R,C1.1,0.2,3,fold_4,100,3.801104442,7.308784744,0.085647917,9.070419359
attrs,D2.R,C1.1,0.2,3,fold_5,100,4.574005497,8.707183086,0.083820629,10.84395752
attrs,D2.R,C2.1,0.2,5,fold_1,98.18181818,14.83976906,24.29230226,0.099755092,8.213541638
attrs,D2.R,C2.1,0.2,5,fold_2,90,12.23009068,20.73143392,0.091887087,7.665006369
attrs,D2.R,C2.1,0.2,5,fold_3,78,12.41954904,20.3136487,0.105176973,5.613005471
attrs,D2.R,C2.1,0.2,5,fold_4,90,13.73593435,22.73584438,0.108200908,7.492553544
attrs,D2.R,C2.1,0.2,5,fold_5,84.44444444,13.38613438,21.32426169,0.095456521,8.865158214
attrs,D2.R,C3.1,0.2,10,fold_1,75.11111111,19.3116571,28.8467397,0.103862858,7.183173402
attrs,D2.R,C3.1,0.2,10,fold_2,71.71717172,21.99232012,30.35423096,0.109640945,5.137445797
attrs,D2.R,C3.1,0.2,10,fold_3,66.66666667,20.11177829,27.37851996,0.105986039,6.585401952
attrs,D2.R,C3.1,0.2,10,fold_4,70.76923077,22.07416852,29.753943,0.108533823,6.74527249
attrs,D2.R,C3.1,0.2,10,fold_5,68.88888889,13.59714177,21.56955188,0.101562572,6.610509324
