filename,word_combination,occurrences_dir1,occurrences_dir2,hallucination_ratio
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,event,100,70,0.7
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,event,91,86,0.945054945
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,event,128,77,0.6015625
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,event,278,91,0.327338129
2024-10-23 23.18 Ex04_writer0008-representations.aird.xes,event,193,77,0.398963731
2024-10-24 00.07 Ex05_writer0013-representations.aird.xes,event,205,95,0.463414634
2024-10-24 00.07 Ex06_writer0000-representations.aird.xes,event,110,73,0.663636364
2024-10-24 00.07 Ex07_writer0000-representations.aird.xes,event,145,100,0.689655172
2024-10-24 00.30 Ex08_writer0000-representations.aird.xes,event,156,81,0.519230769
2024-10-24 00.30 Ex09_writer0002-representations.aird.xes,event,178,40,0.224719101
2024-10-24 00.37 Ex10_writer0000-representations.aird.xes,event,164,72,0.43902439
