filename,word_combination,occurrences_dir1,occurrences_dir2,hallucination_ratio
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,event,100,82,0.82
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,event,91,75,0.8241758241758241
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,event,128,99,0.7734375
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,event,278,219,0.7877697841726619
2024-10-23 23.18 Ex04_writer0008-representations.aird.xes,event,193,146,0.7564766839378239
2024-10-24 00.07 Ex05_writer0013-representations.aird.xes,event,205,152,0.7414634146341463
2024-10-24 00.07 Ex06_writer0000-representations.aird.xes,event,110,87,0.7909090909090909
2024-10-24 00.07 Ex07_writer0000-representations.aird.xes,event,145,109,0.7517241379310344
2024-10-24 00.30 Ex08_writer0000-representations.aird.xes,event,156,113,0.7243589743589743
2024-10-24 00.30 Ex09_writer0002-representations.aird.xes,event,178,142,0.797752808988764
2024-10-24 00.37 Ex10_writer0000-representations.aird.xes,event,164,115,0.7012195121951219
README.md,TODO,1,1,1.0
