filename,word_combination,occurrences_dir1,occurrences_dir2,hallucination_ratio
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,Process,26,12,0.46153846153846156
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,LaneSet,1,2,2.0
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,Lane,12,4,0.3333333333333333
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,StartEvent,2,2,1.0
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,Task,18,10,0.5555555555555556
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,SequenceFlow,26,23,0.8846153846153846
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,ExclusiveGateway,3,5,1.6666666666666667
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,EndEvent,4,3,0.75
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,ParallelGateway,8,9,1.125
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,Process,24,23,0.9583333333333334
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,LaneSet,1,1,1.0
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,Lane,11,11,1.0
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,StartEvent,2,2,1.0
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,Task,15,14,0.9333333333333333
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,SequenceFlow,24,20,0.8333333333333334
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,ExclusiveGateway,6,5,0.8333333333333334
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,ParallelGateway,6,6,1.0
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,EndEvent,2,4,2.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,Process,30,22,0.7333333333333333
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,LaneSet,5,2,0.4
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,Lane,19,11,0.5789473684210527
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,StartEvent,4,2,0.5
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,Task,18,15,0.8333333333333334
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,SequenceFlow,20,15,0.75
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,ExtensionAttributeValue,5,3,0.6
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,DataObject,2,3,1.5
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,Association,20,0,0.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,ExclusiveGateway,3,3,1.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,EndEvent,2,1,0.5
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,Process,63,24,0.38095238095238093
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,LaneSet,5,1,0.2
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,Lane,36,0,0.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,Task,38,20,0.5263157894736842
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,StartEvent,3,3,1.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,SequenceFlow,42,31,0.7380952380952381
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,ExtensionAttributeValue,15,0,0.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,DataObject,11,0,0.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,Association,46,0,0.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,ExclusiveGateway,11,9,0.8181818181818182
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,DataStore,4,0,0.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,EndEvent,4,3,0.75
2024-10-23 23.18 Ex04_writer0008-representations.aird.xes,Process,43,17,0.3953488372093023
2024-10-23 23.18 Ex04_writer0008-representations.aird.xes,LaneSet,5,0,0.0
2024-10-23 23.18 Ex04_writer0008-representations.aird.xes,Lane,29,1,0.034482758620689655
2024-10-23 23.18 Ex04_writer0008-representations.aird.xes,StartEvent,12,4,0.3333333333333333
2024-10-23 23.18 Ex04_writer0008-representations.aird.xes,Task,28,15,0.5357142857142857
2024-10-23 23.18 Ex04_writer0008-representations.aird.xes,SequenceFlow,47,26,0.5531914893617021
2024-10-23 23.18 Ex04_writer0008-representations.aird.xes,ExclusiveGateway,15,13,0.8666666666666667
2024-10-23 23.18 Ex04_writer0008-representations.aird.xes,ExtensionAttributeValue,3,0,0.0
2024-10-23 23.18 Ex04_writer0008-representations.aird.xes,DataObject,2,0,0.0
2024-10-23 23.18 Ex04_writer0008-representations.aird.xes,Association,8,0,0.0
2024-10-23 23.18 Ex04_writer0008-representations.aird.xes,DataStore,1,0,0.0
2024-10-24 00.07 Ex05_writer0013-representations.aird.xes,Process,49,27,0.5510204081632653
2024-10-24 00.07 Ex05_writer0013-representations.aird.xes,LaneSet,5,0,0.0
2024-10-24 00.07 Ex05_writer0013-representations.aird.xes,Lane,24,0,0.0
2024-10-24 00.07 Ex05_writer0013-representations.aird.xes,Task,22,18,0.8181818181818182
2024-10-24 00.07 Ex05_writer0013-representations.aird.xes,StartEvent,5,3,0.6
2024-10-24 00.07 Ex05_writer0013-representations.aird.xes,SequenceFlow,49,34,0.6938775510204082
2024-10-24 00.07 Ex05_writer0013-representations.aird.xes,EndEvent,6,3,0.5
2024-10-24 00.07 Ex05_writer0013-representations.aird.xes,ExclusiveGateway,11,8,0.7272727272727273
2024-10-24 00.07 Ex05_writer0013-representations.aird.xes,ExtensionAttributeValue,2,0,0.0
2024-10-24 00.07 Ex05_writer0013-representations.aird.xes,Association,20,0,0.0
2024-10-24 00.07 Ex05_writer0013-representations.aird.xes,IntermediateCatchEvent,7,0,0.0
2024-10-24 00.07 Ex05_writer0013-representations.aird.xes,IntermediateThrowEvent,4,0,0.0
2024-10-24 00.07 Ex05_writer0013-representations.aird.xes,DataObject,1,0,0.0
2024-10-24 00.07 Ex06_writer0000-representations.aird.xes,Process,27,18,0.6666666666666666
2024-10-24 00.07 Ex06_writer0000-representations.aird.xes,LaneSet,2,3,1.5
2024-10-24 00.07 Ex06_writer0000-representations.aird.xes,Lane,14,6,0.42857142857142855
2024-10-24 00.07 Ex06_writer0000-representations.aird.xes,StartEvent,4,2,0.5
2024-10-24 00.07 Ex06_writer0000-representations.aird.xes,Task,16,12,0.75
2024-10-24 00.07 Ex06_writer0000-representations.aird.xes,SequenceFlow,23,18,0.782608695652174
2024-10-24 00.07 Ex06_writer0000-representations.aird.xes,ExtensionAttributeValue,2,1,0.5
2024-10-24 00.07 Ex06_writer0000-representations.aird.xes,DataObject,2,1,0.5
2024-10-24 00.07 Ex06_writer0000-representations.aird.xes,Association,12,2,0.16666666666666666
2024-10-24 00.07 Ex06_writer0000-representations.aird.xes,ExclusiveGateway,7,8,1.1428571428571428
2024-10-24 00.07 Ex06_writer0000-representations.aird.xes,EndEvent,1,2,2.0
2024-10-24 00.07 Ex07_writer0000-representations.aird.xes,Process,36,21,0.5833333333333334
2024-10-24 00.07 Ex07_writer0000-representations.aird.xes,LaneSet,4,0,0.0
2024-10-24 00.07 Ex07_writer0000-representations.aird.xes,Lane,21,0,0.0
2024-10-24 00.07 Ex07_writer0000-representations.aird.xes,Task,16,13,0.8125
2024-10-24 00.07 Ex07_writer0000-representations.aird.xes,UserTask,3,0,0.0
2024-10-24 00.07 Ex07_writer0000-representations.aird.xes,MultiInstanceLoopCharacteristics,1,0,0.0
2024-10-24 00.07 Ex07_writer0000-representations.aird.xes,StartEvent,4,2,0.5
2024-10-24 00.07 Ex07_writer0000-representations.aird.xes,SequenceFlow,36,39,1.0833333333333333
2024-10-24 00.07 Ex07_writer0000-representations.aird.xes,ParallelGateway,12,15,1.25
2024-10-24 00.07 Ex07_writer0000-representations.aird.xes,SubProcess,4,2,0.5
2024-10-24 00.07 Ex07_writer0000-representations.aird.xes,EndEvent,1,2,2.0
2024-10-24 00.07 Ex07_writer0000-representations.aird.xes,ExclusiveGateway,7,5,0.7142857142857143
2024-10-24 00.30 Ex08_writer0000-representations.aird.xes,Process,37,2,0.05405405405405406
2024-10-24 00.30 Ex08_writer0000-representations.aird.xes,LaneSet,3,0,0.0
2024-10-24 00.30 Ex08_writer0000-representations.aird.xes,Lane,23,0,0.0
2024-10-24 00.30 Ex08_writer0000-representations.aird.xes,Task,33,26,0.7878787878787878
2024-10-24 00.30 Ex08_writer0000-representations.aird.xes,StartEvent,5,4,0.8
2024-10-24 00.30 Ex08_writer0000-representations.aird.xes,SequenceFlow,36,34,0.9444444444444444
2024-10-24 00.30 Ex08_writer0000-representations.aird.xes,BoundaryEvent,8,3,0.375
2024-10-24 00.30 Ex08_writer0000-representations.aird.xes,ExclusiveGateway,6,7,1.1666666666666667
2024-10-24 00.30 Ex08_writer0000-representations.aird.xes,EndEvent,1,3,3.0
2024-10-24 00.30 Ex08_writer0000-representations.aird.xes,ExtensionAttributeValue,1,0,0.0
2024-10-24 00.30 Ex08_writer0000-representations.aird.xes,TextAnnotation,1,0,0.0
