filename,word_combination,occurrences_dir1,occurrences_dir2,hallucination_ratio
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,Process laneSets,1,1,1.0
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,LaneSet lanes,1,0,0.0
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,Process flowElements,25,25,1.0
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,Lane flowNodeRefs,12,0,0.0
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,StartEvent name,1,1,1.0
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,Task name,6,6,1.0
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,Task outgoing,6,6,1.0
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,SequenceFlow sourceRef,13,13,1.0
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,ExclusiveGateway incoming,1,1,1.0
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,SequenceFlow targetRef,13,13,1.0
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,StartEvent outgoing,1,1,1.0
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,Task incoming,6,6,1.0
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,ExclusiveGateway outgoing,2,1,0.5
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,EndEvent name,2,2,1.0
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,EndEvent incoming,2,2,1.0
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,ParallelGateway incoming,4,2,0.5
2024-10-23 23.18 Ex00_writer0001-representations.aird.xes,ParallelGateway outgoing,4,2,0.5
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,Process laneSets,1,1,1.0
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,LaneSet lanes,1,0,0.0
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,Process flowElements,23,23,1.0
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,Lane flowNodeRefs,11,0,0.0
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,StartEvent name,1,1,1.0
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,Task name,5,5,1.0
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,StartEvent outgoing,1,1,1.0
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,SequenceFlow sourceRef,12,12,1.0
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,Task incoming,5,5,1.0
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,SequenceFlow targetRef,12,12,1.0
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,Task outgoing,5,5,1.0
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,ExclusiveGateway incoming,3,2,0.6666666666666666
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,ExclusiveGateway outgoing,3,2,0.6666666666666666
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,ParallelGateway incoming,3,2,0.6666666666666666
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,EndEvent name,1,1,1.0
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,ParallelGateway outgoing,3,2,0.6666666666666666
2024-10-23 23.18 Ex01_writer0001-representations.aird.xes,EndEvent incoming,1,1,1.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,Process laneSets,1,2,2.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,LaneSet lanes,3,0,0.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,Process flowElements,19,18,0.9473684210526315
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,Lane flowNodeRefs,12,0,0.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,StartEvent eventDefinitions,2,0,0.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,LaneSet name,2,0,0.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,Lane name,2,0,0.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,Task name,6,6,1.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,Task outgoing,6,6,1.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,SequenceFlow sourceRef,9,9,1.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,StartEvent incoming,1,1,1.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,SequenceFlow targetRef,9,9,1.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,Lane extensionValues,5,0,0.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,ExtensionAttributeValue value,5,0,0.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,DataObject name,2,2,1.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,Process artifacts,10,10,1.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,Association sourceRef,10,10,1.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,Association targetRef,10,10,1.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,StartEvent outgoing,1,1,1.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,Task incoming,6,5,0.8333333333333334
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,ExclusiveGateway incoming,1,1,1.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,ExclusiveGateway outgoing,2,1,0.5
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,SequenceFlow name,2,2,1.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,EndEvent name,1,1,1.0
2024-10-23 23.18 Ex02_writer0001-representations.aird.xes,EndEvent incoming,1,1,1.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,Process laneSets,1,2,2.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,LaneSet lanes,3,0,0.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,LaneSet name,2,0,0.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,Lane name,1,0,0.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,Process flowElements,39,39,1.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,Lane flowNodeRefs,20,0,0.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,Task name,13,12,0.9230769230769231
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,StartEvent eventDefinitions,1,0,0.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,Task outgoing,13,12,0.9230769230769231
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,SequenceFlow sourceRef,20,20,1.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,StartEvent incoming,1,1,1.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,SequenceFlow targetRef,20,20,1.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,StartEvent outgoing,1,1,1.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,Task incoming,12,11,0.9166666666666666
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,Lane extensionValues,15,0,0.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,ExtensionAttributeValue value,15,0,0.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,DataObject name,11,11,1.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,Process artifacts,23,23,1.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,Association sourceRef,23,23,1.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,Association targetRef,23,23,1.0
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,ExclusiveGateway incoming,5,4,0.8
2024-10-23 23.18 Ex03_writer0001-representations.aird.xes,ExclusiveGateway outgoing,6,4,0.6666666666666666
