filename,word_combination,occurrences_dir1,occurrences_dir2,hallucination_ratio
2024-10-20 15.15 A10-representations.aird.xes,Process,10,0,0.0
2024-10-20 15.15 A10-representations.aird.xes,LaneSet,1,0,0.0
2024-10-20 15.15 A10-representations.aird.xes,Lane,5,0,0.0
2024-10-20 15.15 A10-representations.aird.xes,StartEvent,2,3,1.5
2024-10-20 15.15 A10-representations.aird.xes,Task,9,9,1.0
2024-10-20 15.15 A10-representations.aird.xes,EndEvent,2,3,1.5
2024-10-20 15.15 A10-representations.aird.xes,SequenceFlow,8,8,1.0
2024-10-20 15.57 A20-representations.aird.xes,Process,18,20,1.1111111111111112
2024-10-20 15.57 A20-representations.aird.xes,LaneSet,1,3,3.0
2024-10-20 15.57 A20-representations.aird.xes,Lane,8,16,2.0
2024-10-20 15.57 A20-representations.aird.xes,StartEvent,2,2,1.0
2024-10-20 15.57 A20-representations.aird.xes,Task,12,0,0.0
2024-10-20 15.57 A20-representations.aird.xes,SequenceFlow,18,17,0.9444444444444444
2024-10-20 15.57 A20-representations.aird.xes,ParallelGateway,9,4,0.4444444444444444
2024-10-20 15.57 A20-representations.aird.xes,EndEvent,3,2,0.6666666666666666
2024-10-20 17.09 A30-representations.aird.xes,Process,20,17,0.85
2024-10-20 17.09 A30-representations.aird.xes,LaneSet,1,2,2.0
2024-10-20 17.09 A30-representations.aird.xes,SubProcess,7,4,0.5714285714285714
2024-10-20 17.09 A30-representations.aird.xes,Lane,11,11,1.0
2024-10-20 17.09 A30-representations.aird.xes,BoundaryEvent,9,8,0.8888888888888888
2024-10-20 17.09 A30-representations.aird.xes,StartEvent,2,2,1.0
2024-10-20 17.09 A30-representations.aird.xes,Task,12,11,0.9166666666666666
2024-10-20 17.09 A30-representations.aird.xes,SequenceFlow,16,15,0.9375
2024-10-20 17.09 A30-representations.aird.xes,EndEvent,5,4,0.8
2024-10-20 17.42 A40-representations.aird.xes,Process,21,19,0.9047619047619048
2024-10-20 17.42 A40-representations.aird.xes,Lane,17,0,0.0
2024-10-20 17.42 A40-representations.aird.xes,StartEvent,8,8,1.0
2024-10-20 17.42 A40-representations.aird.xes,Task,23,15,0.6521739130434783
2024-10-20 17.42 A40-representations.aird.xes,LaneSet,2,0,0.0
2024-10-20 17.42 A40-representations.aird.xes,SequenceFlow,29,29,1.0
2024-10-20 17.42 A40-representations.aird.xes,SubProcess,16,13,0.8125
2024-10-20 17.42 A40-representations.aird.xes,EndEvent,9,10,1.1111111111111112
2024-10-20 17.52 A41-representations.aird.xes,Process,23,1,0.043478260869565216
2024-10-20 17.52 A41-representations.aird.xes,LaneSet,5,0,0.0
2024-10-20 17.52 A41-representations.aird.xes,Lane,17,0,0.0
2024-10-20 17.52 A41-representations.aird.xes,Task,23,15,0.6521739130434783
2024-10-20 17.52 A41-representations.aird.xes,StartEvent,8,8,1.0
2024-10-20 17.52 A41-representations.aird.xes,SequenceFlow,30,16,0.5333333333333333
2024-10-20 17.52 A41-representations.aird.xes,SubProcess,16,6,0.375
2024-10-20 17.52 A41-representations.aird.xes,EndEvent,10,8,0.8
2024-10-20 18.10 B10-representations.aird.xes,Process,47,21,0.44680851063829785
2024-10-20 18.10 B10-representations.aird.xes,LaneSet,4,1,0.25
2024-10-20 18.10 B10-representations.aird.xes,Lane,33,9,0.2727272727272727
2024-10-20 18.10 B10-representations.aird.xes,StartEvent,6,4,0.6666666666666666
2024-10-20 18.10 B10-representations.aird.xes,Task,8,3,0.375
2024-10-20 18.10 B10-representations.aird.xes,SequenceFlow,44,22,0.5
2024-10-20 18.10 B10-representations.aird.xes,UserTask,5,2,0.4
2024-10-20 18.10 B10-representations.aird.xes,EndEvent,13,6,0.46153846153846156
2024-10-20 18.10 B10-representations.aird.xes,ServiceTask,4,2,0.5
2024-10-20 18.10 B10-representations.aird.xes,ParallelGateway,4,2,0.5
2024-10-20 18.10 B10-representations.aird.xes,ExclusiveGateway,15,5,0.3333333333333333
2024-10-20 18.10 B10-representations.aird.xes,SubProcess,25,0,0.0
2024-10-20 18.10 B10-representations.aird.xes,ExtensionAttributeValue,5,0,0.0
2024-10-20 18.10 B10-representations.aird.xes,DataObject,1,0,0.0
2024-10-20 18.10 B10-representations.aird.xes,Association,6,0,0.0
2024-10-20 18.10 B10-representations.aird.xes,DataStore,1,0,0.0
2024-10-20 18.42 C10-representations.aird.xes,Process,51,21,0.4117647058823529
2024-10-20 18.42 C10-representations.aird.xes,LaneSet,7,1,0.14285714285714285
2024-10-20 18.42 C10-representations.aird.xes,Lane,33,6,0.18181818181818182
2024-10-20 18.42 C10-representations.aird.xes,StartEvent,7,3,0.42857142857142855
2024-10-20 18.42 C10-representations.aird.xes,Task,29,11,0.3793103448275862
2024-10-20 18.42 C10-representations.aird.xes,IntermediateCatchEvent,14,8,0.5714285714285714
2024-10-20 18.42 C10-representations.aird.xes,SequenceFlow,56,22,0.39285714285714285
2024-10-20 18.42 C10-representations.aird.xes,InclusiveGateway,3,2,0.6666666666666666
2024-10-20 18.42 C10-representations.aird.xes,EndEvent,10,7,0.7
2024-10-20 18.42 C10-representations.aird.xes,UserTask,8,0,0.0
2024-10-20 18.42 C10-representations.aird.xes,ExclusiveGateway,8,0,0.0
2024-10-20 18.56 C11-representations.aird.xes,Process,26,21,0.8076923076923077
2024-10-20 18.56 C11-representations.aird.xes,LaneSet,1,1,1.0
2024-10-20 18.56 C11-representations.aird.xes,Lane,15,10,0.6666666666666666
2024-10-20 18.56 C11-representations.aird.xes,StartEvent,2,2,1.0
2024-10-20 18.56 C11-representations.aird.xes,UserTask,8,7,0.875
2024-10-20 18.56 C11-representations.aird.xes,ExtensionAttributeValue,3,3,1.0
2024-10-20 18.56 C11-representations.aird.xes,DataObject,3,3,1.0
2024-10-20 18.56 C11-representations.aird.xes,Association,6,6,1.0
2024-10-20 18.56 C11-representations.aird.xes,SequenceFlow,25,17,0.68
2024-10-20 18.56 C11-representations.aird.xes,ExclusiveGateway,9,6,0.6666666666666666
2024-10-20 18.56 C11-representations.aird.xes,Task,6,3,0.5
2024-10-20 18.56 C11-representations.aird.xes,EndEvent,6,6,1.0
2024-10-20 18.56 C11-representations.aird.xes,EdgeStyleDescription,1,0,0.0
2024-10-20 18.56 C11-representations.aird.xes,ServiceTask,2,3,1.5
2024-10-20 19.10 C20-representations.aird.xes,Process,45,26,0.5777777777777777
2024-10-20 19.10 C20-representations.aird.xes,LaneSet,8,0,0.0
2024-10-20 19.10 C20-representations.aird.xes,Lane,30,0,0.0
2024-10-20 19.10 C20-representations.aird.xes,StartEvent,14,3,0.21428571428571427
2024-10-20 19.10 C20-representations.aird.xes,Task,39,4,0.10256410256410256
2024-10-20 19.10 C20-representations.aird.xes,EndEvent,11,2,0.18181818181818182
2024-10-20 19.10 C20-representations.aird.xes,SequenceFlow,65,24,0.36923076923076925
2024-10-20 19.10 C20-representations.aird.xes,ExclusiveGateway,12,3,0.25
2024-10-20 19.10 C20-representations.aird.xes,SubProcess,23,1,0.043478260869565216
2024-10-20 19.10 C20-representations.aird.xes,BoundaryEvent,1,0,0.0
2024-10-20 19.10 C20-representations.aird.xes,IntermediateCatchEvent,5,1,0.2
2024-10-20 19.17 C30-representations.aird.xes,Process,30,27,0.9
